id,north,east
1,7526168.9949,699644.9230
2,7526193.6516,699658.8918
3,7526197.9362,699669.1423
4,7526197.3594,699680.5578
5,7526203.4151,699706.9930
6,7526212.9571,699719.0041
7,7526222.7653,699727.4906
8,7526250.9450,699738.0073
9,7526263.9423,699741.5062
10,7526273.7696,699742.7624
11,7526340.2390,699742.2439
12,7526353.3838,699744.3376
13,7526368.1884,699766.7612
14,7526407.9608,699777.9655
15,7526411.0864,699807.1247
16,7526415.4589,699820.6735
17,7526425.5287,699824.2017
18,7526441.6788,699828.3200
19,7526444.8814,699831.0311
20,7526446.2435,699834.9998
21,7526443.4106,699850.2888
22,7526488.4443,699865.0143
23,7526463.5541,699886.8034
24,7526463.1974,699917.7913
25,7526724.0961,699941.7889
26,7526683.0745,700434.9156
27,7526487.6521,700489.5653
28,7526228.7221,700641.8263
29,7526192.0037,700681.1480
30,7525918.3278,700979.6635
31,7525922.7014,701113.9826
32,7525394.0209,701165.7576
33,7525816.9860,700782.6915
34,7525874.9665,700742.2600
35,7526004.6888,700612.0718
36,7526117.6375,700532.1905
37,7526231.2002,700498.7314
38,7526081.7559,700006.1975
39,7526086.5831,699998.2104
40,7526093.3148,699983.6951
41,7526097.1627,699952.5534
42,7526101.8056,699937.5035
43,7526108.0056,699923.7370
44,7526116.5242,699910.6655
45,7526123.1050,699896.5298
46,7526126.1086,699881.1564
47,7526122.3149,699850.7480
48,7526125.7815,699820.2055
49,7526126.6282,699789.6273
50,7526134.7235,699759.7249
51,7526139.6660,699744.8256
52,7526153.5649,699717.8259
53,7526158.2065,699703.3760
54,7526161.3176,699688.5395
55,7526166.8695,699680.2604
56,7526174.7586,699664.4493